Plate,Row,Column,SampleID
1,C,9,LFS1363
1,D,9,LFS365
1,E,9,LFS1364
1,F,9,LFS1365
1,G,9,LFS371
1,H,9,LFS1366
1,A,10,LFS378
1,B,10,LFS380
1,C,10,LFS1378
1,D,10,LFS385
1,E,10,LFS387
1,F,10,LFS388
1,G,10,LFS390
1,H,10,LFS391
1,A,11,LFS392
1,B,11,LFS393
1,C,11,LFS394
1,D,11,LFS396
1,E,11,LFS1379
1,F,11,LFS398
1,G,11,LFS399
1,H,11,LFS412
1,A,12,LFS417
1,B,12,LFS1380
1,C,12,LFS421
1,D,12,LFS427
1,E,12,NTC
1,F,12,NTC
1,G,12,Fam27_Y78_M
1,H,12,Fam27_Y78_M
2,E,6,LFS428
2,F,6,LFS430
2,G,6,LFS431
2,H,6,LFS432
2,A,7,LFS433
2,B,7,LFS434
2,C,7,LFS435
2,D,7,LFS450
2,E,7,LFS470
2,F,7,LFS540
2,G,7,LFS1381
2,H,7,LFS561
2,A,8,LFS909
2,B,8,LFS946
2,C,8,LFS962
2,D,8,LFS1046
2,E,8,LFS1049
2,F,8,LFS1076
2,G,8,LFS1099
2,H,8,LFS1100
2,A,9,LFS1102
2,B,9,LFS1104
2,C,9,LFS1108
2,D,9,LFS1113
2,E,9,LFS1114
2,F,9,LFS1131
2,G,9,LFS1302
2,H,9,LFS1340
2,A,10,LFS1341
2,B,10,LFS1382
2,C,10,LFS1344
2,D,10,LFS1345
2,E,10,LFS1384
2,F,10,LFS1348
2,G,10,LFS1349
2,H,10,LFS1350
2,A,11,LFS1351
2,B,11,LFS1352
2,C,11,LFS1353
2,D,11,LFS1354
2,E,11,LFS1355
2,F,11,LFS1356
2,G,11,LFS1357
2,H,11,LFS1358
2,A,12,LFS1359
2,B,12,LFS1360
2,C,12,LFS1361
2,D,12,LFS1362
2,E,12,NTC
2,F,12,NTC
2,G,12,Fam01_Y13_F
2,H,12,Fam01_Y13_F